Date,Time,Game,Result,Unnamed: 4,Spectators,Venue,home_goals,away_goals,home,away
2019-10-29,19:00:00,Brynäs IF  -  IF Malmö Redhawks,2 - 5,"(1-1, 1-2, 0-2)",5556,Monitor ERP Arena,2,5,Brynäs IF  ,  IF Malmö Redhawks
,19:00:00,Djurgårdens IF  -  Rögle BK,1 - 5,"(0-1, 1-4, 0-0)",6161,"Hovet, Johanneshov",1,5,Djurgårdens IF  ,  Rögle BK
2019-10-31,19:00:00,Växjö Lakers HC  -  Leksands IF,2 - 4,"(1-2, 0-0, 1-2)",5326,Vida Arena,2,4,Växjö Lakers HC  ,  Leksands IF
,19:00:00,Linköping HC  -  HV 71,5 - 3,"(2-1, 1-2, 2-0)",6886,Saab Arena,5,3,Linköping HC  ,  HV 71
,19:00:00,Luleå HF  -  Rögle BK,4 - 1,"(1-0, 2-0, 1-1)",5668,Coop Norrbotten Arena,4,1,Luleå HF  ,  Rögle BK
,19:00:00,IF Malmö Redhawks  -  Frölunda HC,3 - 2,"(1-0, 2-2, 0-0)",6244,Malmö Arena,3,2,IF Malmö Redhawks  ,  Frölunda HC
,19:00:00,IK Oskarshamn  -  Brynäs IF,3 - 2,"(0-1, 2-1, 0-0, 1-0)",3257,Be-Ge Hockey Center,3,2,IK Oskarshamn  ,  Brynäs IF
,19:00:00,Örebro HK  -  Färjestad BK,5 - 2,"(1-0, 3-1, 1-1)",5500,Behrn Arena,5,2,Örebro HK  ,  Färjestad BK
,19:00:00,Skellefteå AIK  -  Djurgårdens IF,4 - 0,"(3-0, 1-0, 0-0)",4559,Skellefteå Kraft Arena,4,0,Skellefteå AIK  ,  Djurgårdens IF
2019-11-02,15:15:00,Brynäs IF  -  Frölunda HC,3 - 1,"(1-0, 0-0, 2-1)",6154,Monitor ERP Arena,3,1,Brynäs IF  ,  Frölunda HC
,15:15:00,HV 71  -  IK Oskarshamn,7 - 1,"(6-0, 1-0, 0-1)",6896,Kinnarps Arena,7,1,HV 71  ,  IK Oskarshamn
,15:15:00,IF Malmö Redhawks  -  Leksands IF,1 - 4,"(0-0, 1-1, 0-3)",8261,Malmö Arena,1,4,IF Malmö Redhawks  ,  Leksands IF
,15:15:00,Rögle BK  -  Linköping HC,2 - 3,"(1-1, 1-1, 0-0, 0-1)",4814,Catena Arena,2,3,Rögle BK  ,  Linköping HC
,18:00:00,Skellefteå AIK  -  Örebro HK,1 - 2,"(0-1, 1-0, 0-1)",4345,Skellefteå Kraft Arena,1,2,Skellefteå AIK  ,  Örebro HK
,18:00:00,Färjestad BK  -  Djurgårdens IF,4 - 1,"(1-0, 2-0, 1-1)",8250,Löfbergs Arena,4,1,Färjestad BK  ,  Djurgårdens IF
,18:00:00,Växjö Lakers HC  -  Luleå HF,3 - 1,"(0-0, 2-1, 1-0)",4372,Vida Arena,3,1,Växjö Lakers HC  ,  Luleå HF
2019-11-14,19:00:00,Djurgårdens IF  -  Luleå HF,1 - 3,"(1-0, 0-0, 0-3)",7442,"Hovet, Johanneshov",1,3,Djurgårdens IF  ,  Luleå HF
,19:00:00,Färjestad BK  -  Brynäs IF,2 - 1,"(0-0, 1-1, 1-0)",8073,Löfbergs Arena,2,1,Färjestad BK  ,  Brynäs IF
,19:00:00,Frölunda HC  -  Örebro HK,4 - 1,"(1-1, 2-0, 1-0)",10026,Scandinavium,4,1,Frölunda HC  ,  Örebro HK
,19:00:00,HV 71  -  Rögle BK,5 - 0,"(2-0, 1-0, 2-0)",6380,Kinnarps Arena,5,0,HV 71  ,  Rögle BK
,19:00:00,Linköping HC  -  Leksands IF,4 - 1,"(0-1, 4-0, 0-0)",7423,Saab Arena,4,1,Linköping HC  ,  Leksands IF
,19:00:00,Skellefteå AIK  -  Växjö Lakers HC,1 - 4,"(0-2, 1-0, 0-2)",4131,Skellefteå Kraft Arena,1,4,Skellefteå AIK  ,  Växjö Lakers HC
,19:00:00,IF Malmö Redhawks  -  IK Oskarshamn,4 - 1,"(1-0, 2-1, 1-0)",4881,Malmö Arena,4,1,IF Malmö Redhawks  ,  IK Oskarshamn
2019-11-16,15:15:00,Linköping HC  -  Djurgårdens IF,4 - 2,"(2-1, 1-0, 1-1)",6937,Saab Arena,4,2,Linköping HC  ,  Djurgårdens IF
,15:15:00,Luleå HF  -  IK Oskarshamn,3 - 0,"(2-0, 0-0, 1-0)",6150,Coop Norrbotten Arena,3,0,Luleå HF  ,  IK Oskarshamn
,15:15:00,Leksands IF  -  HV 71,0 - 4,"(0-3, 0-0, 0-1)",7303,Tegera Arena,0,4,Leksands IF  ,  HV 71
,15:15:00,Växjö Lakers HC  -  Färjestad BK,3 - 2,"(1-1, 0-0, 1-1, 1-0)",5238,Vida Arena,3,2,Växjö Lakers HC  ,  Färjestad BK
,18:00:00,Brynäs IF  -  Skellefteå AIK,6 - 4,"(2-1, 1-1, 3-2)",6657,Monitor ERP Arena,6,4,Brynäs IF  ,  Skellefteå AIK
,18:00:00,Örebro HK  -  IF Malmö Redhawks,3 - 2,"(2-0, 0-1, 1-1)",5451,Behrn Arena,3,2,Örebro HK  ,  IF Malmö Redhawks
,18:00:00,Rögle BK  -  Frölunda HC,2 - 1,"(0-0, 0-0, 1-1, 1-0)",5051,Catena Arena,2,1,Rögle BK  ,  Frölunda HC
2019-11-21,19:00:00,Rögle BK  -  Färjestad BK,3 - 4,"(1-2, 0-2, 2-0)",4684,Catena Arena,3,4,Rögle BK  ,  Färjestad BK
,19:00:00,Frölunda HC  -  Leksands IF,7 - 1,"(1-0, 2-0, 4-1)",12044,Scandinavium,7,1,Frölunda HC  ,  Leksands IF
,19:00:00,HV 71  -  Djurgårdens IF,4 - 3,"(0-1, 1-1, 2-1, 1-0)",6193,Kinnarps Arena,4,3,HV 71  ,  Djurgårdens IF
,19:00:00,Luleå HF  -  Brynäs IF,2 - 1,"(1-0, 0-1, 0-0, 0-0, 1-0)",5055,Coop Norrbotten Arena,2,1,Luleå HF  ,  Brynäs IF
,19:00:00,IF Malmö Redhawks  -  Växjö Lakers HC,5 - 3,"(0-1, 4-1, 1-1)",5052,Malmö Arena,5,3,IF Malmö Redhawks  ,  Växjö Lakers HC
,19:00:00,IK Oskarshamn  -  Skellefteå AIK,2 - 5,"(0-2, 1-1, 1-2)",3044,Be-Ge Hockey Center,2,5,IK Oskarshamn  ,  Skellefteå AIK
,19:00:00,Örebro HK  -  Linköping HC,2 - 1,"(1-1, 1-0, 0-0)",5378,Behrn Arena,2,1,Örebro HK  ,  Linköping HC
2019-11-23,15:15:00,Linköping HC  -  Frölunda HC,1 - 4,"(0-0, 1-1, 0-3)",7188,Saab Arena,1,4,Linköping HC  ,  Frölunda HC
,15:15:00,IF Malmö Redhawks  -  Brynäs IF,0 - 2,"(0-1, 0-1, 0-0)",6882,Malmö Arena,0,2,IF Malmö Redhawks  ,  Brynäs IF
,15:15:00,IK Oskarshamn  -  Färjestad BK,3 - 2,"(1-0, 1-1, 1-1)",3185,Be-Ge Hockey Center,3,2,IK Oskarshamn  ,  Färjestad BK
,18:00:00,Djurgårdens IF  -  Växjö Lakers HC,3 - 2,"(2-1, 1-1, 0-0)",6403,"Hovet, Johanneshov",3,2,Djurgårdens IF  ,  Växjö Lakers HC
,18:00:00,Skellefteå AIK  -  Rögle BK,5 - 2,"(2-0, 1-1, 2-1)",4569,Skellefteå Kraft Arena,5,2,Skellefteå AIK  ,  Rögle BK
,18:00:00,Leksands IF  -  Luleå HF,0 - 5,"(0-1, 0-2, 0-2)",5842,Tegera Arena,0,5,Leksands IF  ,  Luleå HF
2019-11-26,19:00:00,HV 71  -  Örebro HK,1 - 4,"(1-0, 0-1, 0-3)",6404,Kinnarps Arena,1,4,HV 71  ,  Örebro HK
2019-11-28,19:00:00,Brynäs IF  -  Linköping HC,3 - 1,"(1-0, 2-0, 0-1)",5310,Monitor ERP Arena,3,1,Brynäs IF  ,  Linköping HC
,19:00:00,Djurgårdens IF  -  Leksands IF,2 - 0,"(1-0, 0-0, 1-0)",8091,"Hovet, Johanneshov",2,0,Djurgårdens IF  ,  Leksands IF
,19:00:00,Färjestad BK  -  Skellefteå AIK,4 - 2,"(3-0, 1-0, 0-2)",8059,Löfbergs Arena,4,2,Färjestad BK  ,  Skellefteå AIK
,19:00:00,Frölunda HC  -  IK Oskarshamn,4 - 1,"(3-0, 0-0, 1-1)",9622,Scandinavium,4,1,Frölunda HC  ,  IK Oskarshamn
,19:00:00,Luleå HF  -  Örebro HK,4 - 1,"(0-0, 3-1, 1-0)",4805,Coop Norrbotten Arena,4,1,Luleå HF  ,  Örebro HK
,19:00:00,Rögle BK  -  IF Malmö Redhawks,4 - 3,"(1-1, 2-1, 0-1, 1-0)",5007,Catena Arena,4,3,Rögle BK  ,  IF Malmö Redhawks
,19:00:00,Växjö Lakers HC  -  HV 71,2 - 4,"(0-4, 1-0, 1-0)",5750,Vida Arena,2,4,Växjö Lakers HC  ,  HV 71
2019-11-30,15:15:00,IK Oskarshamn  -  Växjö Lakers HC,1 - 2,"(0-1, 1-0, 0-1)",3275,Be-Ge Hockey Center,1,2,IK Oskarshamn  ,  Växjö Lakers HC
,15:15:00,Skellefteå AIK  -  IF Malmö Redhawks,4 - 3,"(1-0, 1-1, 2-2)",4432,Skellefteå Kraft Arena,4,3,Skellefteå AIK  ,  IF Malmö Redhawks
,15:15:00,Leksands IF  -  Rögle BK,3 - 2,"(0-1, 1-1, 2-0)",5168,Tegera Arena,3,2,Leksands IF  ,  Rögle BK
,18:00:00,Färjestad BK  -  Frölunda HC,4 - 1,"(1-1, 2-0, 1-0)",8250,Löfbergs Arena,4,1,Färjestad BK  ,  Frölunda HC
,18:00:00,HV 71  -  Brynäs IF,3 - 2,"(2-1, 0-0, 1-1)",7000,Kinnarps Arena,3,2,HV 71  ,  Brynäs IF
,18:00:00,Linköping HC  -  Luleå HF,1 - 3,"(0-0, 0-1, 1-2)",5396,Saab Arena,1,3,Linköping HC  ,  Luleå HF
,18:00:00,Örebro HK  -  Djurgårdens IF,2 - 5,"(0-2, 1-2, 1-1)",5500,Behrn Arena,2,5,Örebro HK  ,  Djurgårdens IF
2019-12-05,19:00:00,Frölunda HC  -  Djurgårdens IF,2 - 1,"(0-0, 0-1, 2-0)",10719,Scandinavium,2,1,Frölunda HC  ,  Djurgårdens IF
,19:00:00,HV 71  -  Luleå HF,0 - 4,"(0-1, 0-1, 0-2)",6194,Kinnarps Arena,0,4,HV 71  ,  Luleå HF
,19:00:00,Linköping HC  -  Skellefteå AIK,5 - 3,"(1-2, 3-0, 1-1)",4608,Saab Arena,5,3,Linköping HC  ,  Skellefteå AIK
